Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
0.5	leaf-1	0	dev=net(0)	InInterests	0	0
0.5	leaf-1	0	dev=net(0)	OutInterests	50	1.75684
0.5	leaf-1	0	dev=net(0)	DropInterests	0	0
0.5	leaf-1	0	dev=net(0)	InNacks	0	0
0.5	leaf-1	0	dev=net(0)	OutNacks	0	0
0.5	leaf-1	0	dev=net(0)	DropNacks	0	0
0.5	leaf-1	0	dev=net(0)	InData	50	52.0498
0.5	leaf-1	0	dev=net(0)	OutData	0	0
0.5	leaf-1	0	dev=net(0)	DropData	0	0
0.5	leaf-1	1	dev=local(1)	InInterests	50	0
0.5	leaf-1	1	dev=local(1)	OutInterests	0	0
0.5	leaf-1	1	dev=local(1)	DropInterests	0	0
0.5	leaf-1	1	dev=local(1)	InNacks	0	0
0.5	leaf-1	1	dev=local(1)	OutNacks	0	0
0.5	leaf-1	1	dev=local(1)	DropNacks	0	0
0.5	leaf-1	1	dev=local(1)	InData	0	0
0.5	leaf-1	1	dev=local(1)	OutData	50	52.0498
0.5	leaf-1	1	dev=local(1)	DropData	0	0
0.5	leaf-1	-1	all	SatisfiedInterests	50	0
0.5	leaf-1	-1	all	TimedOutInterests	0	0
0.5	leaf-2	0	dev=net(0)	InInterests	0	0
0.5	leaf-2	0	dev=net(0)	OutInterests	50	1.75684
0.5	leaf-2	0	dev=net(0)	DropInterests	0	0
0.5	leaf-2	0	dev=net(0)	InNacks	0	0
0.5	leaf-2	0	dev=net(0)	OutNacks	0	0
0.5	leaf-2	0	dev=net(0)	DropNacks	0	0
0.5	leaf-2	0	dev=net(0)	InData	50	52.0498
0.5	leaf-2	0	dev=net(0)	OutData	0	0
0.5	leaf-2	0	dev=net(0)	DropData	0	0
0.5	leaf-2	1	dev=local(1)	InInterests	50	0
0.5	leaf-2	1	dev=local(1)	OutInterests	0	0
0.5	leaf-2	1	dev=local(1)	DropInterests	0	0
0.5	leaf-2	1	dev=local(1)	InNacks	0	0
0.5	leaf-2	1	dev=local(1)	OutNacks	0	0
0.5	leaf-2	1	dev=local(1)	DropNacks	0	0
0.5	leaf-2	1	dev=local(1)	InData	0	0
0.5	leaf-2	1	dev=local(1)	OutData	50	52.0498
0.5	leaf-2	1	dev=local(1)	DropData	0	0
0.5	leaf-2	-1	all	SatisfiedInterests	50	0
0.5	leaf-2	-1	all	TimedOutInterests	0	0
