Time	Node	Type	Packets	
1	int_cache	CacheHits	0
1	int_cache	CacheMisses	5
2	int_cache	CacheHits	0
2	int_cache	CacheMisses	10
3	int_cache	CacheHits	0
3	int_cache	CacheMisses	10
4	int_cache	CacheHits	0
4	int_cache	CacheMisses	10
5	int_cache	CacheHits	0
5	int_cache	CacheMisses	10
6	int_cache	CacheHits	0
6	int_cache	CacheMisses	10
7	int_cache	CacheHits	0
7	int_cache	CacheMisses	10
8	int_cache	CacheHits	0
8	int_cache	CacheMisses	10
9	int_cache	CacheHits	0
9	int_cache	CacheMisses	10
10	int_cache	CacheHits	0
10	int_cache	CacheMisses	10
11	int_cache	CacheHits	0
11	int_cache	CacheMisses	10
12	int_cache	CacheHits	0
12	int_cache	CacheMisses	10
13	int_cache	CacheHits	0
13	int_cache	CacheMisses	10
14	int_cache	CacheHits	0
14	int_cache	CacheMisses	10
15	int_cache	CacheHits	0
15	int_cache	CacheMisses	10
16	int_cache	CacheHits	0
16	int_cache	CacheMisses	10
17	int_cache	CacheHits	0
17	int_cache	CacheMisses	10
18	int_cache	CacheHits	0
18	int_cache	CacheMisses	10
19	int_cache	CacheHits	0
19	int_cache	CacheMisses	10
