Time	Node	Type	Packets	
1	leaf-1	CacheHits	0
1	leaf-1	CacheMisses	100
1	leaf-2	CacheHits	0
1	leaf-2	CacheMisses	100
1	leaf-3	CacheHits	0
1	leaf-3	CacheMisses	100
1	leaf-4	CacheHits	0
1	leaf-4	CacheMisses	100
1	rtr-1	CacheHits	0
1	rtr-1	CacheMisses	200
1	rtr-2	CacheHits	0
1	rtr-2	CacheMisses	200
1	root	CacheHits	0
1	root	CacheMisses	400
2	leaf-1	CacheHits	0
2	leaf-1	CacheMisses	100
2	leaf-2	CacheHits	0
2	leaf-2	CacheMisses	100
2	leaf-3	CacheHits	0
2	leaf-3	CacheMisses	100
2	leaf-4	CacheHits	0
2	leaf-4	CacheMisses	100
2	rtr-1	CacheHits	0
2	rtr-1	CacheMisses	200
2	rtr-2	CacheHits	0
2	rtr-2	CacheMisses	200
2	root	CacheHits	0
2	root	CacheMisses	400
3	leaf-1	CacheHits	0
3	leaf-1	CacheMisses	100
3	leaf-2	CacheHits	0
3	leaf-2	CacheMisses	100
3	leaf-3	CacheHits	0
3	leaf-3	CacheMisses	100
3	leaf-4	CacheHits	0
3	leaf-4	CacheMisses	100
3	rtr-1	CacheHits	0
3	rtr-1	CacheMisses	200
3	rtr-2	CacheHits	0
3	rtr-2	CacheMisses	200
3	root	CacheHits	0
3	root	CacheMisses	400
4	leaf-1	CacheHits	0
4	leaf-1	CacheMisses	100
4	leaf-2	CacheHits	0
4	leaf-2	CacheMisses	100
4	leaf-3	CacheHits	0
4	leaf-3	CacheMisses	100
4	leaf-4	CacheHits	0
4	leaf-4	CacheMisses	100
4	rtr-1	CacheHits	0
4	rtr-1	CacheMisses	200
4	rtr-2	CacheHits	0
4	rtr-2	CacheMisses	200
4	root	CacheHits	0
4	root	CacheMisses	400
5	leaf-1	CacheHits	0
5	leaf-1	CacheMisses	100
5	leaf-2	CacheHits	0
5	leaf-2	CacheMisses	100
5	leaf-3	CacheHits	0
5	leaf-3	CacheMisses	100
5	leaf-4	CacheHits	0
5	leaf-4	CacheMisses	100
5	rtr-1	CacheHits	0
5	rtr-1	CacheMisses	200
5	rtr-2	CacheHits	0
5	rtr-2	CacheMisses	200
5	root	CacheHits	0
5	root	CacheMisses	400
6	leaf-1	CacheHits	0
6	leaf-1	CacheMisses	100
6	leaf-2	CacheHits	0
6	leaf-2	CacheMisses	100
6	leaf-3	CacheHits	0
6	leaf-3	CacheMisses	100
6	leaf-4	CacheHits	0
6	leaf-4	CacheMisses	100
6	rtr-1	CacheHits	0
6	rtr-1	CacheMisses	200
6	rtr-2	CacheHits	0
6	rtr-2	CacheMisses	200
6	root	CacheHits	0
6	root	CacheMisses	400
7	leaf-1	CacheHits	0
7	leaf-1	CacheMisses	100
7	leaf-2	CacheHits	0
7	leaf-2	CacheMisses	100
7	leaf-3	CacheHits	0
7	leaf-3	CacheMisses	100
7	leaf-4	CacheHits	0
7	leaf-4	CacheMisses	100
7	rtr-1	CacheHits	0
7	rtr-1	CacheMisses	200
7	rtr-2	CacheHits	0
7	rtr-2	CacheMisses	200
7	root	CacheHits	0
7	root	CacheMisses	400
8	leaf-1	CacheHits	0
8	leaf-1	CacheMisses	100
8	leaf-2	CacheHits	0
8	leaf-2	CacheMisses	100
8	leaf-3	CacheHits	0
8	leaf-3	CacheMisses	100
8	leaf-4	CacheHits	0
8	leaf-4	CacheMisses	100
8	rtr-1	CacheHits	0
8	rtr-1	CacheMisses	200
8	rtr-2	CacheHits	0
8	rtr-2	CacheMisses	200
8	root	CacheHits	0
8	root	CacheMisses	400
9	leaf-1	CacheHits	0
9	leaf-1	CacheMisses	100
9	leaf-2	CacheHits	0
9	leaf-2	CacheMisses	100
9	leaf-3	CacheHits	0
9	leaf-3	CacheMisses	100
9	leaf-4	CacheHits	0
9	leaf-4	CacheMisses	100
9	rtr-1	CacheHits	0
9	rtr-1	CacheMisses	200
9	rtr-2	CacheHits	0
9	rtr-2	CacheMisses	200
9	root	CacheHits	0
9	root	CacheMisses	400
10	leaf-1	CacheHits	0
10	leaf-1	CacheMisses	100
10	leaf-2	CacheHits	0
10	leaf-2	CacheMisses	100
10	leaf-3	CacheHits	0
10	leaf-3	CacheMisses	100
10	leaf-4	CacheHits	0
10	leaf-4	CacheMisses	100
10	rtr-1	CacheHits	0
10	rtr-1	CacheMisses	200
10	rtr-2	CacheHits	0
10	rtr-2	CacheMisses	200
10	root	CacheHits	0
10	root	CacheMisses	400
11	leaf-1	CacheHits	0
11	leaf-1	CacheMisses	100
11	leaf-2	CacheHits	0
11	leaf-2	CacheMisses	100
11	leaf-3	CacheHits	0
11	leaf-3	CacheMisses	100
11	leaf-4	CacheHits	0
11	leaf-4	CacheMisses	100
11	rtr-1	CacheHits	0
11	rtr-1	CacheMisses	200
11	rtr-2	CacheHits	0
11	rtr-2	CacheMisses	200
11	root	CacheHits	0
11	root	CacheMisses	400
12	leaf-1	CacheHits	0
12	leaf-1	CacheMisses	100
12	leaf-2	CacheHits	0
12	leaf-2	CacheMisses	100
12	leaf-3	CacheHits	0
12	leaf-3	CacheMisses	100
12	leaf-4	CacheHits	0
12	leaf-4	CacheMisses	100
12	rtr-1	CacheHits	0
12	rtr-1	CacheMisses	200
12	rtr-2	CacheHits	0
12	rtr-2	CacheMisses	200
12	root	CacheHits	0
12	root	CacheMisses	400
13	leaf-1	CacheHits	0
13	leaf-1	CacheMisses	100
13	leaf-2	CacheHits	0
13	leaf-2	CacheMisses	100
13	leaf-3	CacheHits	0
13	leaf-3	CacheMisses	100
13	leaf-4	CacheHits	0
13	leaf-4	CacheMisses	100
13	rtr-1	CacheHits	0
13	rtr-1	CacheMisses	200
13	rtr-2	CacheHits	0
13	rtr-2	CacheMisses	200
13	root	CacheHits	0
13	root	CacheMisses	400
14	leaf-1	CacheHits	0
14	leaf-1	CacheMisses	100
14	leaf-2	CacheHits	0
14	leaf-2	CacheMisses	100
14	leaf-3	CacheHits	0
14	leaf-3	CacheMisses	100
14	leaf-4	CacheHits	0
14	leaf-4	CacheMisses	100
14	rtr-1	CacheHits	0
14	rtr-1	CacheMisses	200
14	rtr-2	CacheHits	0
14	rtr-2	CacheMisses	200
14	root	CacheHits	0
14	root	CacheMisses	400
15	leaf-1	CacheHits	0
15	leaf-1	CacheMisses	100
15	leaf-2	CacheHits	0
15	leaf-2	CacheMisses	100
15	leaf-3	CacheHits	0
15	leaf-3	CacheMisses	100
15	leaf-4	CacheHits	0
15	leaf-4	CacheMisses	100
15	rtr-1	CacheHits	0
15	rtr-1	CacheMisses	200
15	rtr-2	CacheHits	0
15	rtr-2	CacheMisses	200
15	root	CacheHits	0
15	root	CacheMisses	400
16	leaf-1	CacheHits	0
16	leaf-1	CacheMisses	100
16	leaf-2	CacheHits	0
16	leaf-2	CacheMisses	100
16	leaf-3	CacheHits	0
16	leaf-3	CacheMisses	100
16	leaf-4	CacheHits	0
16	leaf-4	CacheMisses	100
16	rtr-1	CacheHits	0
16	rtr-1	CacheMisses	200
16	rtr-2	CacheHits	0
16	rtr-2	CacheMisses	200
16	root	CacheHits	0
16	root	CacheMisses	400
17	leaf-1	CacheHits	0
17	leaf-1	CacheMisses	100
17	leaf-2	CacheHits	0
17	leaf-2	CacheMisses	100
17	leaf-3	CacheHits	0
17	leaf-3	CacheMisses	100
17	leaf-4	CacheHits	0
17	leaf-4	CacheMisses	100
17	rtr-1	CacheHits	0
17	rtr-1	CacheMisses	200
17	rtr-2	CacheHits	0
17	rtr-2	CacheMisses	200
17	root	CacheHits	0
17	root	CacheMisses	400
18	leaf-1	CacheHits	0
18	leaf-1	CacheMisses	100
18	leaf-2	CacheHits	0
18	leaf-2	CacheMisses	100
18	leaf-3	CacheHits	0
18	leaf-3	CacheMisses	100
18	leaf-4	CacheHits	0
18	leaf-4	CacheMisses	100
18	rtr-1	CacheHits	0
18	rtr-1	CacheMisses	200
18	rtr-2	CacheHits	0
18	rtr-2	CacheMisses	200
18	root	CacheHits	0
18	root	CacheMisses	400
19	leaf-1	CacheHits	0
19	leaf-1	CacheMisses	100
19	leaf-2	CacheHits	0
19	leaf-2	CacheMisses	100
19	leaf-3	CacheHits	0
19	leaf-3	CacheMisses	100
19	leaf-4	CacheHits	0
19	leaf-4	CacheMisses	100
19	rtr-1	CacheHits	0
19	rtr-1	CacheMisses	200
19	rtr-2	CacheHits	0
19	rtr-2	CacheMisses	200
19	root	CacheHits	0
19	root	CacheMisses	400
