Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	leaf-1	0	dev=net(0)	InInterests	0	0	0	0
0.5	leaf-1	0	dev=net(0)	OutInterests	80	2.81094	50	1.75684
0.5	leaf-1	0	dev=net(0)	DropInterests	0	0	0	0
0.5	leaf-1	0	dev=net(0)	InNacks	0	0	0	0
0.5	leaf-1	0	dev=net(0)	OutNacks	0	0	0	0
0.5	leaf-1	0	dev=net(0)	DropNacks	0	0	0	0
0.5	leaf-1	0	dev=net(0)	InData	80	83.2797	50	52.0498
0.5	leaf-1	0	dev=net(0)	OutData	0	0	0	0
0.5	leaf-1	0	dev=net(0)	DropData	0	0	0	0
0.5	leaf-1	0	dev=net(0)	InSatisfiedInterests	0	0	0	0
0.5	leaf-1	0	dev=net(0)	InTimedOutInterests	0	0	0	0
0.5	leaf-1	0	dev=net(0)	OutSatisfiedInterests	80	0	50	0
0.5	leaf-1	0	dev=net(0)	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	1	dev=local(1)	InInterests	80	0	50	0
0.5	leaf-1	1	dev=local(1)	OutInterests	0	0	0	0
0.5	leaf-1	1	dev=local(1)	DropInterests	0	0	0	0
0.5	leaf-1	1	dev=local(1)	InNacks	0	0	0	0
0.5	leaf-1	1	dev=local(1)	OutNacks	0	0	0	0
0.5	leaf-1	1	dev=local(1)	DropNacks	0	0	0	0
0.5	leaf-1	1	dev=local(1)	InData	0	0	0	0
0.5	leaf-1	1	dev=local(1)	OutData	80	83.2797	50	52.0498
0.5	leaf-1	1	dev=local(1)	DropData	0	0	0	0
0.5	leaf-1	1	dev=local(1)	InSatisfiedInterests	80	0	50	0
0.5	leaf-1	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.5	leaf-1	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.5	leaf-1	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	-1	all	SatisfiedInterests	80	0	50	0
0.5	leaf-1	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-2	0	dev=net(0)	InInterests	0	0	0	0
0.5	leaf-2	0	dev=net(0)	OutInterests	80	2.81094	50	1.75684
0.5	leaf-2	0	dev=net(0)	DropInterests	0	0	0	0
0.5	leaf-2	0	dev=net(0)	InNacks	0	0	0	0
0.5	leaf-2	0	dev=net(0)	OutNacks	0	0	0	0
0.5	leaf-2	0	dev=net(0)	DropNacks	0	0	0	0
0.5	leaf-2	0	dev=net(0)	InData	80	83.2797	50	52.0498
0.5	leaf-2	0	dev=net(0)	OutData	0	0	0	0
0.5	leaf-2	0	dev=net(0)	DropData	0	0	0	0
0.5	leaf-2	0	dev=net(0)	InSatisfiedInterests	0	0	0	0
0.5	leaf-2	0	dev=net(0)	InTimedOutInterests	0	0	0	0
0.5	leaf-2	0	dev=net(0)	OutSatisfiedInterests	80	0	50	0
0.5	leaf-2	0	dev=net(0)	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	1	dev=local(1)	InInterests	80	0	50	0
0.5	leaf-2	1	dev=local(1)	OutInterests	0	0	0	0
0.5	leaf-2	1	dev=local(1)	DropInterests	0	0	0	0
0.5	leaf-2	1	dev=local(1)	InNacks	0	0	0	0
0.5	leaf-2	1	dev=local(1)	OutNacks	0	0	0	0
0.5	leaf-2	1	dev=local(1)	DropNacks	0	0	0	0
0.5	leaf-2	1	dev=local(1)	InData	0	0	0	0
0.5	leaf-2	1	dev=local(1)	OutData	80	83.2797	50	52.0498
0.5	leaf-2	1	dev=local(1)	DropData	0	0	0	0
0.5	leaf-2	1	dev=local(1)	InSatisfiedInterests	80	0	50	0
0.5	leaf-2	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.5	leaf-2	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	-1	all	SatisfiedInterests	80	0	50	0
0.5	leaf-2	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-3	0	dev=net(0)	InInterests	0	0	0	0
0.5	leaf-3	0	dev=net(0)	OutInterests	80	2.81094	50	1.75684
0.5	leaf-3	0	dev=net(0)	DropInterests	0	0	0	0
