Time	Node	Event	ContentID	#Hops
1	repo_1	Hit_Event	1660	1
251	repo_1	Hit_Event	213	1
501	repo_1	Hit_Event	72	1
751	repo_1	Hit_Event	24	1
1001	repo_1	Hit_Event	21	1
1251	repo_1	Hit_Event	1507	1
1501	repo_1	Hit_Event	1	1
1751	repo_1	Hit_Event	172	1
2001	repo_1	Hit_Event	5507	1
2251	repo_1	Hit_Event	257	1
2501	repo_1	Hit_Event	1751	1
2751	repo_1	Hit_Event	134	1
3001	repo_1	Hit_Event	6	1
3251	repo_1	Hit_Event	2022	1
3500	cache_0	Hit_Event	1	0
3751	repo_1	Hit_Event	2062	1
4001	repo_1	Hit_Event	5780	1
4251	repo_1	Hit_Event	1996	1
4500	cache_0	Hit_Event	1	0
4751	repo_1	Hit_Event	86	1
5001	repo_1	Hit_Event	5	1
5251	repo_1	Hit_Event	16	1
5501	repo_1	Hit_Event	22	1
5751	repo_1	Hit_Event	20	1
6001	repo_1	Hit_Event	6663	1
6251	repo_1	Hit_Event	67	1
6501	repo_1	Hit_Event	18	1
6751	repo_1	Hit_Event	11	1
7001	repo_1	Hit_Event	4663	1
7251	repo_1	Hit_Event	534	1
7501	repo_1	Hit_Event	58	1
7750	cache_0	Hit_Event	11	0
8001	repo_1	Hit_Event	51	1
8251	repo_1	Hit_Event	2	1
8501	repo_1	Hit_Event	956	1
8750	cache_0	Hit_Event	1	0
9001	repo_1	Hit_Event	164	1
9251	repo_1	Hit_Event	884	1
9501	repo_1	Hit_Event	179	1
9751	repo_1	Hit_Event	92	1
10001	repo_1	Hit_Event	3	1
10250	cache_0	Hit_Event	16	0
10501	repo_1	Hit_Event	2886	1
10750	cache_0	Hit_Event	3	0
11000	cache_0	Hit_Event	21	0
11251	repo_1	Hit_Event	23	1
11501	repo_1	Hit_Event	631	1
11751	repo_1	Hit_Event	8	1
12001	repo_1	Hit_Event	351	1
12251	repo_1	Hit_Event	9	1
12501	repo_1	Hit_Event	113	1
12750	cache_0	Hit_Event	21	0
13001	repo_1	Hit_Event	167	1
13251	repo_1	Hit_Event	55	1
13500	cache_0	Hit_Event	3	0
13750	cache_0	Hit_Event	2	0
14001	repo_1	Hit_Event	1636	1
14251	repo_1	Hit_Event	279	1
14501	repo_1	Hit_Event	31	1
14751	repo_1	Hit_Event	253	1
15001	repo_1	Hit_Event	100	1
15250	cache_0	Hit_Event	1	0
15500	cache_0	Hit_Event	1	0
15750	cache_0	Hit_Event	55	0
16001	repo_1	Hit_Event	124	1
16251	repo_1	Hit_Event	610	1
16501	repo_1	Hit_Event	6947	1
16750	cache_0	Hit_Event	6	0
17000	cache_0	Hit_Event	3	0
17251	repo_1	Hit_Event	9651	1
17501	repo_1	Hit_Event	662	1
17751	repo_1	Hit_Event	2486	1
18001	repo_1	Hit_Event	904	1
18251	repo_1	Hit_Event	4494	1
18501	repo_1	Hit_Event	151	1
18751	repo_1	Hit_Event	91	1
19001	repo_1	Hit_Event	305	1
19251	repo_1	Hit_Event	4190	1
19501	repo_1	Hit_Event	30	1
19750	cache_0	Hit_Event	8	0
20001	repo_1	Hit_Event	424	1
20251	repo_1	Hit_Event	46	1
20501	repo_1	Hit_Event	398	1
20751	repo_1	Hit_Event	4896	1
21001	repo_1	Hit_Event	42	1
21251	repo_1	Hit_Event	2402	1
21500	cache_0	Hit_Event	1	0
21751	repo_1	Hit_Event	9836	1
22001	repo_1	Hit_Event	6172	1
22251	repo_1	Hit_Event	563	1
22501	repo_1	Hit_Event	116	1
22751	repo_1	Hit_Event	15	1
23001	repo_1	Hit_Event	2126	1
23250	cache_0	Hit_Event	3	0
23500	cache_0	Hit_Event	1	0
23751	repo_1	Hit_Event	7	1
24001	repo_1	Hit_Event	2703	1
24251	repo_1	Hit_Event	53	1
24501	repo_1	Hit_Event	252	1
24751	repo_1	Hit_Event	47	1
25000	cache_0	Hit_Event	1	0
25251	repo_1	Hit_Event	831	1
25501	repo_1	Hit_Event	9286	1
25750	cache_0	Hit_Event	1	0
26001	repo_1	Hit_Event	479	1
26251	repo_1	Hit_Event	2356	1
26501	repo_1	Hit_Event	207	1
26751	repo_1	Hit_Event	628	1
27000	cache_0	Hit_Event	1	0
27250	cache_0	Hit_Event	1	0
27500	cache_0	Hit_Event	18	0
27750	cache_0	Hit_Event	1	0
28001	repo_1	Hit_Event	83	1
28250	cache_0	Hit_Event	9	0
28500	cache_0	Hit_Event	3	0
28751	repo_1	Hit_Event	2188	1
29001	repo_1	Hit_Event	308	1
29251	repo_1	Hit_Event	5704	1
29500	cache_0	Hit_Event	1	0
29751	repo_1	Hit_Event	489	1
30001	repo_1	Hit_Event	41	1
30250	cache_0	Hit_Event	7	0
30500	cache_0	Hit_Event	1	0
30750	cache_0	Hit_Event	1	0
31001	repo_1	Hit_Event	2186	1
31251	repo_1	Hit_Event	6562	1
31501	repo_1	Hit_Event	208	1
31751	repo_1	Hit_Event	3615	1
32001	repo_1	Hit_Event	5248	1
32250	cache_0	Hit_Event	83	0
32501	repo_1	Hit_Event	768	1
32751	repo_1	Hit_Event	12	1
33000	cache_0	Hit_Event	2	0
33251	repo_1	Hit_Event	3425	1
33500	cache_0	Hit_Event	1	0
33751	repo_1	Hit_Event	757	1
34001	repo_1	Hit_Event	39	1
34251	repo_1	Hit_Event	6008	1
34501	repo_1	Hit_Event	6613	1
34751	repo_1	Hit_Event	1528	1
35000	cache_0	Hit_Event	15	0
35251	repo_1	Hit_Event	948	1
35501	repo_1	Hit_Event	4	1
35751	repo_1	Hit_Event	9204	1
36001	repo_1	Hit_Event	4856	1
36250	cache_0	Hit_Event	3	0
36500	cache_0	Hit_Event	3	0
36751	repo_1	Hit_Event	840	1
37001	repo_1	Hit_Event	97	1
37250	cache_0	Hit_Event	55	0
37501	repo_1	Hit_Event	5077	1
37751	repo_1	Hit_Event	49	1
38001	repo_1	Hit_Event	2449	1
38250	cache_0	Hit_Event	3	0
38501	repo_1	Hit_Event	65	1
38751	repo_1	Hit_Event	3039	1
39000	cache_0	Hit_Event	7	0
39251	repo_1	Hit_Event	365	1
39501	repo_1	Hit_Event	33	1
39751	repo_1	Hit_Event	20	1
40001	repo_1	Hit_Event	62	1
40251	repo_1	Hit_Event	84	1
40501	repo_1	Hit_Event	846	1
40750	cache_0	Hit_Event	16	0
41001	repo_1	Hit_Event	7503	1
41251	repo_1	Hit_Event	4850	1
41501	repo_1	Hit_Event	110	1
41751	repo_1	Hit_Event	1006	1
42001	repo_1	Hit_Event	164	1
42251	repo_1	Hit_Event	118	1
42500	cache_0	Hit_Event	4	0
42751	repo_1	Hit_Event	61	1
43000	cache_0	Hit_Event	208	0
43251	repo_1	Hit_Event	1148	1
43500	cache_0	Hit_Event	3	0
43751	repo_1	Hit_Event	428	1
44001	repo_1	Hit_Event	147	1
44251	repo_1	Hit_Event	3686	1
44500	cache_0	Hit_Event	2	0
44751	repo_1	Hit_Event	3193	1
45001	repo_1	Hit_Event	5	1
45251	repo_1	Hit_Event	52	1
45501	repo_1	Hit_Event	4280	1
45750	cache_0	Hit_Event	3	0
46000	cache_0	Hit_Event	62	0
46250	cache_0	Hit_Event	3	0
46500	cache_0	Hit_Event	12	0
46750	cache_0	Hit_Event	2	0
47001	repo_1	Hit_Event	186	1
47250	cache_0	Hit_Event	610	0
47500	cache_0	Hit_Event	5	0
47751	repo_1	Hit_Event	3592	1
48001	repo_1	Hit_Event	2118	1
48250	cache_0	Hit_Event	1	0
48501	repo_1	Hit_Event	14	1
48750	cache_0	Hit_Event	1	0
49001	repo_1	Hit_Event	4053	1
49251	repo_1	Hit_Event	1044	1
49500	cache_0	Hit_Event	4	0
49751	repo_1	Hit_Event	57	1
50001	repo_1	Hit_Event	333	1
50250	cache_0	Hit_Event	1	0
50501	repo_1	Hit_Event	5961	1
50750	cache_0	Hit_Event	7	0
51001	repo_1	Hit_Event	160	1
51251	repo_1	Hit_Event	10	1
51501	repo_1	Hit_Event	48	1
51751	repo_1	Hit_Event	641	1
52001	repo_1	Hit_Event	4288	1
52251	repo_1	Hit_Event	23	1
52500	cache_0	Hit_Event	2	0
52751	repo_1	Hit_Event	66	1
53001	repo_1	Hit_Event	141	1
53250	cache_0	Hit_Event	52	0
53501	repo_1	Hit_Event	656	1
53751	repo_1	Hit_Event	1733	1
54000	cache_0	Hit_Event	1	0
54251	repo_1	Hit_Event	63	1
54501	repo_1	Hit_Event	1184	1
54751	repo_1	Hit_Event	394	1
55001	repo_1	Hit_Event	21	1
55251	repo_1	Hit_Event	334	1
55500	cache_0	Hit_Event	16	0
55750	cache_0	Hit_Event	1	0
56000	cache_0	Hit_Event	5	0
56250	cache_0	Hit_Event	2	0
56501	repo_1	Hit_Event	36	1
56751	repo_1	Hit_Event	8255	1
57000	cache_0	Hit_Event	3	0
57251	repo_1	Hit_Event	11	1
57500	cache_0	Hit_Event	3	0
57750	cache_0	Hit_Event	1	0
58000	cache_0	Hit_Event	2	0
58250	cache_0	Hit_Event	3	0
